latravel,motorway,rural_other,rural_primary,urban_other,urban_primary
E06000023,0.06840971593476597,0.00866806736531054,0.04278774687254766,0.5365708755349162,0.34356359429245964
E06000024,0.2181888974842292,0.37267324193203705,0.06022007002222792,0.24973410322047696,0.09918368734102885
E06000025,0.5050678450830498,0.3171231137080545,0.03211881368753488,0.11760131145215873,0.028088916069202077
E06000026,0,0.02268657425806894,0.28287054404175477,0.31236409509247914,0.3820787866076971
E06000027,0,0.07354072421337107,0.32857655362867616,0.23307121920027027,0.3648115029576825
E06000028,0,7.074652384910035e-5,0.12204955229619965,0.146756152595534,0.7311235485844172
E06000029,0,3.763945464324644e-4,0.3466951174805634,0.13397482529952642,0.5189536626734778
E06000030,0.054580846882168355,0.14634458988757976,0.4354530969333797,0.14454901009585386,0.2190724562010182
E06000031,0.006162237432907171,0.06769605940669965,0.629700046071549,0.08037799977540505,0.2160636573134393
E06000032,0.282505742049421,0.0149084141945754,0.041108789649454275,0.16254436012104495,0.4989326939855044
E06000033,0,0.04950837378153155,0.06635692108631949,0.08105657655942149,0.8030781285727274
E06000034,0.07288367630233425,0.21114263984164144,0.5556646140247763,0.09985675015858425,0.06045231967266382
E06000035,0.13565603150908848,0.07919012546508426,0.4442597581381479,0.1394197331090115,0.20147435177866782
E06000036,0,0.5810594009437138,0.08922081295883658,0.32774416712472804,0.001975618972721639
E06000037,0,0.5064380001988312,0.2672307030735158,0.09779902520064077,0.1285322715270122
E06000038,0,0.003505187161395878,0.2042635651284303,0.11801223954130739,0.6742190081688664
E06000039,0.3955880358486419,0.009474309075040299,0.045864927347949724,0.26725143019276726,0.2818212975356008
E06000040,0.1619588773260652,0.24131809480009694,0.23631936469227155,0.26258664532094805,0.09781701786061826
E06000041,0,0.6016800902957234,0.20293475706393813,0.10997674107492786,0.08540841156541054
E06000042,0.0411482412484275,0.19999202010773195,0.5406463216826878,0.0932073678887321,0.12500604907242058
E06000043,0.07765827481851342,0.06222387592549477,0.2640826991323424,0.2287792711989011,0.36725587892474826
E06000044,0.4485444017589251,0.01697736115888808,0.1922710137951841,0.10393006802518742,0.2382771552618153
E06000045,0.17229460649036707,0.017177650226256225,0.03607152250069806,0.12742407477596074,0.647032146006718
E06000046,0,0.5381973762745729,0.19759337638530752,0.16018487975036338,0.10402436758975621
E06000047,0.04215640443672859,0.2728035306526236,0.47296368624549073,0.09263466221370803,0.11944171645144903
E06000049,0.0277483718997844,0.26368881419110934,0.4509434097706248,0.08414628770984404,0.17347311642863744
E06000050,0.10433655240033995,0.1857159636444201,0.4608755082050304,0.08994481307599551,0.15912716267421403
E06000051,0.013267739166956718,0.2945107493287583,0.5356323792481252,0.08021846535476802,0.07637066690139173
E06000052,0,0.2666090751580477,0.5535392210256175,0.07613345967342539,0.10371824414290938
E06000054,0.008914321912251676,0.20450602909928514,0.5404907711846072,0.07697899511047229,0.16910988269338376
E06000055,0,0.1479642493595806,0.6463811750924099,0.08948184941561534,0.11617272613239422
E06000056,0.051611438553888056,0.29101639177515976,0.500309794979022,0.10524032076517494,0.05182205392675541
E06000057,0,0.20578855886932787,0.6572529282759876,0.06141978571347943,0.07553872714120517
E07000004,0.004110724410642391,0.31855085926645565,0.4473284578604779,0.10240403274638063,0.12760592571604346
E07000005,0.014814802327535428,0.3121153108144016,0.3465572912760912,0.1485096005984572,0.17800299498351455
E07000006,0.42452759566756454,0.08495794252602493,0.2874977728936541,0.09677206839341278,0.10624462051934377
E07000007,0.08604059431806979,0.30758098327787436,0.32249348632074926,0.11798580591179655,0.16589913017151017
E07000008,0.10223059095626735,0.010997773568594162,0.1606958068581213,0.1984491568488843,0.5276266717681329
E07000009,0,0.2456864692539356,0.5849952029193494,0.10694496528528304,0.062373362541432
E07000010,0,0.27845167149842026,0.43176205659416983,0.09307755118799793,0.19670872071941192
E07000011,0.037947693188675184,0.3674276109600519,0.3674201297662486,0.1438585997194953,0.08334596636552899
E07000012,0.1479235210002757,0.1368830519247875,0.6175132408289021,0.06727408499140054,0.030406101254634083
E07000026,0,0.20961425097452158,0.6543119205408745,0.056881021296075536,0.07919280718852842
E07000027,0,0.11948842763021615,0.5651923686403997,0.12781541168268554,0.18750379204669873
E07000028,0.07065193063154653,0.31445336255554895,0.41184292995294525,0.12726493066277234,0.07578684619718701
E07000029,0,0.14436437598772373,0.5799004620520152,0.07940612819602959,0.19632903376423153
E07000030,0.0688243511393333,0.48771889394006146,0.3758591838302892,0.038371020482370254,0.0292265506079458
E07000031,0,0.21600244287518433,0.6354992696517979,0.0511005876687527,0.09739769980426503
E07000032,0,0.3371961529411985,0.46757325172466,0.10015510208458114,0.09507549324956041
E07000033,0.17724163409132673,0.317801514736012,0.26647282328146243,0.13839478396189203,0.10008924392930675
E07000034,0.08366057595802433,0.15581958308435448,0.13614721381155478,0.12800260871220384,0.4963700184338626
E07000035,0,0.38548331141715947,0.4540781181023172,0.07768299416418285,0.08275557631634048
E07000036,0.3037250148770944,0.04802932486308784,0.3951883008515071,0.13935648552071034,0.11370087388760022
E07000037,0,0.2357018412983618,0.5074747894975806,0.08984796002972441,0.16697540917433318
