latravel,motorway,other
E07000170,0.06531698167968149,0.9346830183203185
E07000171,0.018756449441281478,0.9812435505587185
E07000172,0.27284796548759666,0.7271520345124034
E07000173,0,1
E07000174,0,1
E07000175,0,1
E07000176,0,1
E07000177,0.08884574446258761,0.9111542555374124
E07000178,0,1
E07000179,0.062099774503198486,0.9379002254968015
E07000180,0,1
E07000181,0,1
E07000187,0,1
E07000188,0.14383077628431848,0.8561692237156815
E07000189,0,1
E07000190,0.08834993575699052,0.9116500642430094
E07000191,0,1
E07000192,0.22751789456772,0.77248210543228
E07000193,0,1
E07000194,0.0327470623708949,0.9672529376291051
E07000195,0.11302368699321665,0.8869763130067834
E07000196,0.26012073794867663,0.7398792620513234
E07000197,0.1231628024537059,0.8768371975462941
E07000198,0,1
E07000199,0,1
E07000200,0,1
E07000201,0,1
E07000202,0,1
E07000203,0.03339361309473592,0.9666063869052641
E07000204,0,1
E07000205,0,1
E07000206,0,1
E07000207,0.062477849076370294,0.9375221509236297
E07000208,0,1
E07000209,0.019024314255266676,0.9809756857447334
E07000210,0.05721342031303088,0.9427865796869691
E07000211,0.21720187510051392,0.7827981248994861
E07000212,0.748072454693195,0.25192754530680495
E07000213,0.603037658149651,0.39696234185034895
E07000214,0.6294648711573384,0.3705351288426616
E07000215,0.17850433368574115,0.8214956663142589
E07000216,0,1
E07000217,0.8031377041655748,0.19686229583442516
E07000218,0.38366035439431173,0.6163396456056882
E07000219,0.15904852851584245,0.8409514714841575
E07000220,0.1498018369677776,0.8501981630322224
E07000221,0.051718375201374,0.948281624798626
E07000222,0.11904094249426897,0.880959057505731
E07000223,0.03942520047798227,0.9605747995220177
E07000224,0,1
E07000225,0,1
E07000226,0.31843906149981926,0.6815609385001807
E07000227,0,1
E07000228,0.03175784786043907,0.9682421521395609
E07000229,0,1
E07000234,0.31129365813656856,0.6887063418634314
E07000235,0.03513492854630274,0.9648650714536973
E07000236,0,1
E07000237,0.07733306583495049,0.9226669341650495
E07000238,0.08003800465615295,0.919961995343847
E07000239,0,1
E07000240,0.3983271933672441,0.6016728066327559
E07000241,0.4638071300844838,0.5361928699155162
E07000242,0,1
E07000243,0.6847828249706626,0.31521717502933744
E08000001,0.464935429287133,0.535064570712867
E08000002,0.0359201682585957,0.9640798317414043
E08000003,0.09238342737577068,0.9076165726242293
E08000004,0.12309117844603008,0.8769088215539699
E08000005,0.04914658125828898,0.950853418741711
E08000006,0.3163848668353899,0.6836151331646101
E08000007,0.071454147640384,0.928545852359616
E08000008,0.1448440986068957,0.8551559013931043
E08000009,0.06583171520546584,0.9341682847945342
E08000010,0.19894409731266416,0.8010559026873358
E08000011,0.13859733874553481,0.8614026612544652
E08000012,0.006389882984849131,0.9936101170151509
E08000013,0.5412144750274938,0.45878552497250624
E08000014,0.006643431001784258,0.9933565689982158
E08000015,0.2656651663615726,0.7343348336384274
E08000016,0,1
E08000017,0.2547451145809161,0.7452548854190839
