latravel,off_public_highway,rural_other,rural_primary,urban_other,urban_primary
E06000036,0.045659589270954926,0.16477166502969487,0.0023820386089786895,0.7420162979035091,0.04517040918686242
E06000037,0.0212280594517659,0.12950217721049076,0.008290704890394898,0.7955801764836838,0.045398881963664546
E06000038,0.016481573780445655,0.027309390231660412,2.775558116628155e-4,0.8474160907463653,0.10851538942986581
E06000039,0.021815535401693755,0.025941839521453014,0.0010634490464586617,0.8682951250619719,0.08288405096842259
E06000040,0.01166043555229483,0.10622842882034537,0.0072825906386684925,0.8354630706220215,0.03936547436666985
E06000041,0.02971266309547275,0.07912189958460059,0.016804295745942548,0.819122305408559,0.05523883616542503
E06000042,0.019435129925372288,0.2076800138134285,0.0018656726043153322,0.7690768660482036,0.0019423176086802323
E06000043,0.011414228456844509,0.010592898108041815,0.0010932844305700906,0.9077754232941859,0.06912416571035769
E06000044,0.004781346861039474,0.014571617990027309,0.0026296076871063444,0.9067326626454649,0.07128476481636196
E06000045,0.004337050111078585,0.011670773946410288,0.007779890811322769,0.8703825847491486,0.10582970038203966
E06000046,0.006426217194216624,0.09621745308217944,0.0060028682054803564,0.7915109485761489,0.0998425129419748
E06000047,0.024285288142869243,0.11362422301631366,0.023751445304012443,0.799360784202421,0.038978259334383605
E06000049,0.016890974582842944,0.07921527087260889,0.007814598115542689,0.8044232093256289,0.09165594710337654
E06000050,0.011497071326058322,0.06642957088097483,0.01580410790247513,0.8152918563519487,0.09097739353854305
E06000051,0.008273009473402159,0.06348898029212374,0.007282824774967211,0.8067372793826523,0.11421790607685454
E06000052,0.01776101403189582,0.09977984046876226,0.014967606524358457,0.8180442990106184,0.049447239964365224
E06000054,0.010193263138614688,0.0816170652786644,0.012239456564331973,0.8014761687006262,0.09447404631776278
E06000055,0.0011306303781531953,0.05800125098469399,0.0027716515798177728,0.802726854518254,0.13536961253908097
E06000056,0.019321293331336354,0.08528486046890425,0.005069290210474618,0.7906497905857242,0.0996747654035606
E06000057,0.02129569084565299,0.1003807444470085,0.0409396203472657,0.7787757314879215,0.05860821287215137
E07000004,0.01738231736352376,0.033791911392855443,0.010003768184474609,0.8282456263730935,0.1105763766860527
E07000005,0.01667776894569197,0.10229138586185933,0.0058393919767115235,0.7912444839287914,0.08394696928694581
E07000006,0.048103726822091776,0.2035318459415875,0.011460677591562827,0.6934626298898766,0.043441119754881394
E07000007,0.030701056211492786,0.08829800362148979,0.005699215742096511,0.8188501445286114,0.05645157989630957
E07000008,0.01046073336736567,0.023925058106236196,9.604055752487726e-4,0.8972582357431501,0.06739556720799926
E07000009,7.012716651287524e-5,0.10455427482652786,9.387729958199283e-4,0.8944368250111393,0
